StationID,Latitude,Longitude,Altitude
54511,3948N,11628E,313
54527,3905N,11704E,25
53698,3802N,11425E,810
54405,4024N,11530E,5368
54423,4059N,11757E,3859
54539,3926N,11853E,105
54616,3820N,11650E,96
54618,3805N,11633E,132
53487,4006N,11320E,10672
53673,3844N,11243E,8282
53772,3747N,11233E,7783
53863,3702N,11155E,7439
53959,3502N,11101E,3760
50434,5029N,12141E,7326
50527,4913N,11945E,6102
50632,4846N,12155E,7397
50727,4710N,11957E,10274
50915,4531N,11658E,8387
52495,4010N,10448E,13239
53068,4339N,11158E,9647
53192,4401N,11457E,11261
53276,4224N,11254E,11508
53336,4134N,10831E,12880
53352,4142N,11026E,13766
53391,4154N,11400E,14827
53463,4049N,11141E,10630
53502,3947N,10545E,10318
53529,3906N,10759E,13803
54012,4435N,11736E,10006
54026,4434N,12054E,2650
54027,4359N,11924E,4844
54102,4357N,11604E,9895
54115,4336N,11804E,7990
54135,4336N,12216E,1785
54208,4211N,11628E,12454
54218,4216N,11856E,5680
54236,4225N,12232E,794
54324,4133N,12027E,1699
54337,4108N,12107E,659
54342,4144N,12331E,490
54346,4119N,12347E,1852
54471,4039N,12210E,38
54497,4003N,12420E,138
54662,3854N,12138E,915
50949,4505N,12452E,1359
54157,4311N,12420E,1642
54161,4354N,12513E,2368
54292,4252N,12930E,2573
54374,4148N,12655E,3327
50353,5143N,12639E,1774
50557,4910N,12514E,2422
50564,4926N,12721E,2345
50658,4803N,12553E,2346
50745,4723N,12355E,1459
50756,4726N,12658E,2392
50788,4714N,13159E,664
50854,4623N,12519E,1493
50953,4545N,12646E,1423
50963,4558N,12844E,1086
50968,4513N,12758E,1897
50978,4517N,13057E,2383
54094,4434N,12936E,2414
54096,4423N,13109E,4967
58362,3124N,12127E,55
58367,3110N,12126E,26
58027,3417N,11709E,412
58040,3450N,11907E,33
58238,3200N,11848E,71
58251,3252N,12019E,43
58457,3014N,12010E,417
58477,3002N,12206E,357
58633,2900N,11854E,824
58659,2802N,12039E,283
58752,2747N,12039E,397
58102,3352N,11546E,377
58221,3255N,11723E,219
58314,3124N,11619E,864
58321,3152N,11714E,279
58424,3032N,11703E,198
58834,2639N,11810E,1256
58847,2605N,11917E,840
58921,2558N,11721E,2060
59134,2429N,11804E,1394
57799,2703N,11455E,712
57993,2551N,11457E,1238
58527,2918N,11712E,615
58606,2836N,11555E,467
58715,2735N,11639E,808
54725,3730N,11731E,117
54776,3724N,12241E,477
54823,3636N,11703E,1703
54843,3645N,11911E,222
54906,3515N,11526E,497
54909,3506N,11533E,505
54916,3534N,11651E,517
53898,3607N,11422E,755
57067,3403N,11102E,5688
57083,3443N,11339E,1104
57290,3300N,11401E,827
57297,3208N,11403E,1145
57265,3223N,11140E,900
57447,3017N,10928E,4571
57461,3042N,11118E,1331
57494,3037N,11408E,231
57662,2903N,11141E,350
57679,2812N,11305E,449
57687,2813N,11255E,680
57745,2727N,10941E,2722
57866,2614N,11137E,1726
59082,2441N,11336E,607
59287,2310N,11320E,410
59293,2348N,11444E,708
59316,2324N,11641E,29
59501,2248N,11522E,173
59663,2152N,11158E,233
57957,2519N,11018E,1644
59023,2442N,10802E,2602
59211,2354N,10636E,1735
59254,2324N,11005E,425
59265,2329N,11118E,1148
59417,2220N,10651E,1288
59431,2238N,10813E,1216
59632,2157N,10837E,45
59758,2000N,11015E,635
59838,1906N,10837E,84
59855,1914N,11028E,240
56146,3137N,10000E,33935
56172,3154N,10214E,26644
56182,3239N,10334E,28507
56187,3042N,10350E,5393
56257,3000N,10016E,39489
56294,3040N,10401E,5061
56462,2900N,10130E,79873
56492,2848N,10436E,3408
56571,2754N,10216E,15909
56671,2639N,10215E,17871
57237,3204N,10802E,6740
57411,3047N,10606E,3093
57515,2931N,10629E,3511
57516,2935N,10628E,2591
57633,2850N,10846E,6641
57707,2718N,10517E,15106
57713,2742N,10653E,8439
57816,2635N,10644E,12238
57902,2526N,10511E,13785
56444,2829N,09855E,33190
56651,2652N,10013E,23924
56739,2501N,09830E,16546
56768,2501N,10132E,17720
56778,2501N,10241E,18924
56951,2353N,10005E,15024
56954,2234N,09956E,10548
56964,2247N,10058E,13021
56985,2323N,10323E,13007
55591,2940N,09108E,36487
53646,3814N,10942E,1575
53845,3636N,10930E,9585
57036,3418N,10856E,3975
57127,3304N,10702E,5095
57131,3426N,10858E,4100
52418,4009N,09441E,11390
52436,4016N,09702E,15260
52533,3946N,09829E,14772
52681,3838N,10305E,13670
52787,3712N,10252E,30451
52884,3621N,10356E,16685
52889,3603N,10353E,15172
53915,3533N,10640E,13466
56080,3500N,10254E,29100
56096,3324N,10455E,10791
57006,3435N,10545E,11417
57014,3434N,10552E,10852
52602,3845N,09320E,27700
52713,3751N,09522E,31732
52754,3720N,10008E,83015
52818,3625N,09454E,28076
52836,3618N,09806E,31911
52866,3643N,10145E,22952
52955,3535N,10045E,81200
52957,3516N,10039E,32894
56004,3413N,09226E,45331
56021,3408N,09547E,41750
56029,3301N,09701E,36812
56033,3455N,09813E,42723
56046,3345N,09939E,39675
53614,3829N,10613E,11114
53723,3747N,10724E,13478
51076,4744N,08805E,7353
